track_id,genre,language
blues.00000,blues,en
blues.00001,blues,en
blues.00002,blues,en
blues.00003,blues,en
blues.00004,blues,en
blues.00005,blues,en
blues.00006,blues,en
blues.00007,blues,en
blues.00008,blues,en
blues.00009,blues,en
blues.00010,blues,en
blues.00011,blues,en
blues.00012,blues,en
blues.00013,blues,en
blues.00014,blues,en
blues.00015,blues,en
blues.00016,blues,en
blues.00017,blues,en
blues.00018,blues,en
blues.00019,blues,en
blues.00020,blues,en
blues.00021,blues,en
blues.00022,blues,en
blues.00023,blues,en
blues.00024,blues,en
blues.00025,blues,en
blues.00026,blues,en
blues.00027,blues,en
blues.00028,blues,en
blues.00029,blues,en
blues.00030,blues,en
blues.00031,blues,en
blues.00032,blues,en
blues.00033,blues,en
blues.00034,blues,en
blues.00035,blues,en
blues.00036,blues,en
blues.00037,blues,en
blues.00038,blues,en
blues.00039,blues,en
blues.00040,blues,en
blues.00041,blues,en
blues.00042,blues,en
blues.00043,blues,en
blues.00044,blues,en
blues.00045,blues,en
blues.00046,blues,en
blues.00047,blues,en
blues.00048,blues,en
blues.00049,blues,en
blues.00050,blues,en
blues.00051,blues,en
blues.00052,blues,en
blues.00053,blues,en
blues.00054,blues,en
blues.00055,blues,en
blues.00056,blues,en
blues.00057,blues,en
blues.00058,blues,en
blues.00059,blues,en
blues.00060,blues,en
blues.00061,blues,en
blues.00062,blues,en
blues.00063,blues,en
blues.00064,blues,en
blues.00065,blues,en
blues.00066,blues,en
blues.00067,blues,en
blues.00068,blues,en
blues.00069,blues,en
blues.00070,blues,en
blues.00071,blues,en
blues.00072,blues,en
blues.00073,blues,en
blues.00074,blues,en
blues.00075,blues,en
blues.00076,blues,en
blues.00077,blues,en
blues.00078,blues,en
blues.00079,blues,en
blues.00080,blues,en
blues.00081,blues,en
blues.00082,blues,en
blues.00083,blues,en
blues.00084,blues,en
blues.00085,blues,en
blues.00086,blues,en
blues.00087,blues,en
blues.00088,blues,en
blues.00089,blues,en
blues.00090,blues,en
blues.00091,blues,en
blues.00092,blues,en
blues.00093,blues,en
blues.00094,blues,en
blues.00095,blues,en
blues.00096,blues,en
